line,tag,pred
Ares European CLO VIII B.V.,p,title
"(a private company with limited liability incorporated under the laws of The Netherlands, having its statutory seat in Amsterdam)",p,uncertain
"€1,500,000 Class X Senior Secured Floating Rate Notes due 2032",p,uncertain
"€279,000,000 Class A-R Senior Secured Floating Rate Notes due 2032",p,uncertain
"€45,700,000 Class B-R Senior Secured Floating Rate Notes due 2032",p,uncertain
"€27,000,000 Class C-R Senior Secured Deferrable Floating Rate Notes due 2032",p,uncertain
"€30,800,000 Class D-R Senior Secured Deferrable Floating Rate Notes due 2032",p,uncertain
"€24,750,000 Class E-R Senior Secured Deferrable Floating Rate Notes due 2032",p,uncertain
"€13,500,000 Class F-R Senior Secured Deferrable Floating Rate Notes due 2032",p,uncertain
"€47,800,000 Subordinated Notes due 2032*",p,uncertain
*The Subordinated Notes were issued on the Original Issue Date and are not being offered pursuant to this Offering Circular,p,uncertain
"The assets securing the Notes (as defined herein) will consist primarily of a portfolio of Senior Obligations, Mezzanine Obligations and High Yield Bonds managed by Ares European Loan Management LLP (the “Collateral Manager”).",p,p
"On 15 December 2016 (the “Original Issue Date”), Ares European CLO VIII B.V. (the “Issuer”) issued",p,uncertain
"€218,000,000 Class A-1 Senior Secured Floating Rate Notes due 2030 (the “Original Class A-1 Notes”),",p,uncertain
"€20,000,000 Class A-2 Senior Secured Fixed Rate Notes due 2030 (the “Original Class A-2 Notes” and together with the Original Class A-1 Notes, the “Original Class A Notes”), €52,800,000 Class B Senior Secured Floating Rate Notes due 2030 (the “Original Class B Notes”), €26,000,000 Class C Senior Secured Deferrable Floating Rate Notes due 2030 (the “Original Class C Notes”), €21,200,000 Class D Senior Secured Deferrable Floating Rate Notes due 2030 (the “Original Class D Notes”), €20,000,000 Class E Senior Secured Deferrable Junior Floating Rate Notes due 2029 (the “Original Class E Notes”), €11,200,000 Class F Senior Secured Deferrable Floating Rate Notes due 2030 (the “Original Class F Notes” and, together with the Original Class A Notes, the Original Class B Notes, the Original Class C Notes, the Original Class D Notes and the Original Class E Notes, the “Refinanced Notes”) and €47,800,000 Subordinated Notes due 2030 (the “Subordinated Notes” and together with the Refinanced Notes, the “Original Notes”). The issuance of the Original Notes was authorised by resolution of the board of Managing Directors of the Issuer dated on or about 7 December 2016. The Original Notes were issued and secured pursuant to a trust deed (the “Original Trust Deed”) dated on the Original Issue Date and made between (amongst others) the Issuer and Citibank, N.A., London Branch (the “Trustee”).",p,p
"On or about 30 October 2019 (the “Issue Date” and, with respect to the Refinanced Notes, the “Redemption Date”), the Issuer will, subject to the satisfaction of certain conditions, refinance the Refinanced Notes by issuing",p,p
"€1,500,000 Class X Senior Secured Floating Rate Notes due 2032 (the “Class X Notes”), €279,000,000 Class A- R Senior Secured Floating Rate Notes due 2032 (the “Class A Notes”), €45,700,000 Class B-R Senior Secured Floating Rate Notes due 2032 (the “Class B Notes”) , €27,000,000 Class C-R Senior Secured Deferrable Floating Rate Notes due 2032 (the “Class C Notes”), €30,800,000 Class D-R Senior Secured Deferrable Floating Rate Notes due 2032 (the “Class D Notes”), €24,750,000 Class E-R Senior Secured Deferrable Floating Rate Notes due 2032 (the “Class E Notes”) and €13,500,000 Class F-R Senior Secured Deferrable Floating Rate Notes due 2032 (the “Class F Notes” and, together with the Class X Notes, Class A Notes, the Class B Notes, the Class C Notes, the Class D Notes and the Class E Notes, the “Refinancing Notes”) (the Refinancing Notes together with the Subordinated Notes, the “Notes”).",p,p
The issue of the Refinancing Notes and amendments to the Subordinated Notes were authorised by resolution passed at a meeting of the board of Managing Directors of the Issuer held on 23 October 2019.,p,p
"The Refinancing Notes will be issued and secured and certain amendments will be made to the Subordinated Notes (including an extension of the maturity thereof) pursuant to a supplemental trust deed to the Original Trust Deed (the “Supplemental Trust Deed”), dated on or about the Issue Date, between (amongst others) the Issuer and the Trustee (the Original Trust Deed, as supplemented by the Supplemental Trust Deed, the “Trust Deed”).",p,p
The Refinancing Notes will initially be offered at the prices specified herein or such other prices as may be negotiated at the time of sale. The Subordinated Notes were issued on the Original Issue Date and are not being offered pursuant to this Offering Circular. The terms and conditions applicable to the Subordinated Notes will be amended in accordance with the Terms and Conditions of the Notes outlined in this Offering Circular.,p,p
"Interest on the Notes will be payable (i) quarterly in arrear on 17 January, 17 April, 17 July and 17 October at any time other than following the occurrence of a Frequency Switch Event (as defined herein); and (ii) semi-annually in arrear following the occurrence of a Frequency Switch Event on (A) 17 January and 17 July (where the Payment Date immediately prior to the occurrence of the relevant Frequency Switch Event falls in either January or July), or (B) 17 April and 17 October (where the Payment Date immediately prior to the occurrence of the relevant Frequency Switch Event falls in either April or October), commencing on 17 January 2020 and ending on the Maturity Date (as defined herein) (subject to any earlier redemption of the Notes and in each case subject to adjustment for non-Business Days in accordance with the Conditions and in accordance with the Priorities of Payment).",p,p
"The Notes will be subject to Optional Redemption, Mandatory Redemption and Special Redemption, each as described herein. See Condition 7 (Redemption and Purchase).",p,uncertain
See the section entitled “Risk Factors” herein for a discussion of certain factors to be considered in connection with an investment in the Refinancing Notes.,p,p
"This Offering Circular does not constitute a prospectus for the purposes of Article 6 of Regulation 2017/1129/EU (as amended, the “Prospectus Regulation”). The Issuer is not offering the Refinancing Notes in any jurisdiction in circumstances that would require a prospectus to be prepared pursuant to the Prospectus Regulation. Application has been made to the Irish Stock Exchange p.l.c. trading as Euronext Dublin (“Euronext Dublin”) for the Refinancing Notes to be admitted to the Official List (the “Official List”) and for the Refinancing Notes and the Subordinated Notes to be admitted to trading on the Global Exchange Market of Euronext Dublin (the “Global Exchange Market”). It is anticipated that listing will take place on or about the Issue Date. There can be no assurance that such listing will be maintained. This Offering Circular constitutes listing particulars for the purpose of such application and has been approved by Euronext Dublin. The Subordinated Notes are currently admitted to the Official List and trading on the regulated market of Euronext Dublin (the “Regulated Market”). It is anticipated that the Subordinated Notes will be simultaneously de-listed from the Regulated Market and listed on the Global Exchange Market on or around the Issue Date.",p,p
"The Notes are limited recourse obligations of the Issuer which are payable solely out of amounts received by or on behalf of the Issuer in respect of the Collateral (as defined herein). The net proceeds of the realisation of the security over the Collateral upon acceleration of the Notes following a Note Event of Default (as defined herein) may be insufficient to pay all amounts due on the Notes after making payments to other creditors of the Issuer ranking in priority thereto or pari passu therewith. In the event of a shortfall in such proceeds, the Issuer will not be obliged to pay, and the other assets (including amounts standing to the credit of the Issuer Dutch Account and the rights of the Issuer under the Issuer Management Agreement (each as defined herein)) of the Issuer will not be available for payment of such shortfall, all claims in respect of such shortfall will be extinguished. See Condition 4(c) (Limited Recourse and Non-Petition).",p,p
,p,p
