line,val,pred,cats
"If a Note Event of Default occurs and is continuing, the Trustee may, at its discretion, and shall, at the request of the Controlling Class acting by way of Ordinary Resolution (subject, in each case, to the Trustee being indemnified and/or secured and/or prefunded to its satisfaction), give notice to the Issuer, the Collateral Manager and each Hedge Counterparty that all the Notes are immediately due and repayable, provided that following a Note Event of Default described in Conditions 10(a)(vi) (Insolvency Proceedings) or 10(a)(vii) (Illegality), such notice shall be deemed to have been given and all the Notes shall automatically become immediately due and payable.",1,,0.9913051128387451
"In addition, the Trust Deed generally provides that, if a Noteholder fails to provide the Issuer or its agents with any correct, complete and accurate information or documentation that may be required for the Issuer to comply with FATCA and to prevent the imposition of tax under FATCA on payments to or for the benefit of the Issuer, or if the Noteholderï¿½s ownership of any Notes would otherwise cause the Issuer to be subject to tax under FATCA, the Issuer is authorised to withhold amounts otherwise distributable to the Noteholder, to compel the Noteholder to sell its Notes, and, if the Noteholder does not sell its Notes within 10 Business Days after notice from the Issuer, to sell the Noteholderï¿½s Notes on behalf of the Noteholder.",1,,0.9965831637382507
"Distributions on the Notes to a Non-U.S. Holder (as defined in ï¿½Tax Considerationsï¿½Certain U.S. Federal Income Tax Considerationsï¿½) that provides appropriate tax certifications to the Issuer and gain recognised on the sale, exchange or retirement of the Notes by the Non-U.S. Holder will not be subject to U.S. federal income tax unless the payments or gain are effectively connected with a trade or business conducted by the Non-U.S. Holder in the United States or, in the case of gain, the Non-U.S. Holder is a",0,,0.0005311667919158936
"If a Noteholder fails to provide the Issuer or its agents with any correct, complete and accurate information or documentation that may be required for the Issuer to comply with FATCA and to prevent the imposition of tax under FATCA on payments to or for the benefit of the Issuer, or if the Noteholderï¿½s ownership of any Notes would otherwise cause the Issuer to be subject to tax under FATCA, the Issuer is authorised to withhold amounts otherwise distributable to the Noteholder, to compel the Noteholder to sell its Notes, and, if the Noteholder does not sell its Notes within 10 Business Days after notice from the Issuer, to sell the Noteholderï¿½s Notes on behalf of the Noteholder.",1,,0.9972606897354126
"The U.S. federal income tax consequences of an investment in the Notes are uncertain, as to both the timing and character of any inclusion in income in respect of the Notes. Because of this uncertainty, prospective investors are urged to consult their tax advisors as to the tax consequences of an investment in a Note. For a more complete discussion of the U.S. federal income tax consequences of an investment in a Note, please see the summary under ï¿½Tax Considerationsï¿½Certain U.S. Federal Income Tax Considerationsï¿½ below.",0,,4.386872376471729e-07
"Distressed company and other asset-based investments require active monitoring and may, at times, require participation by the Issuer in business strategy or bankruptcy proceedings. To the extent that the Issuer becomes involved in such proceedings, the Issuerï¿½s more active participation in the affairs of the bankruptcy debtor could result in the imposition of restrictions limiting the Issuerï¿½s ability to liquidate its position in the debtor.",0,,0.9998669624328613
"If a Hedge Counterparty is subject to a rating withdrawal or downgrade by the Rating Agencies to below the applicable Rating Requirement, there will be a termination event under the applicable Hedge Agreement unless, within the applicable grace period following such rating withdrawal or downgrade, such Hedge Counterparty either transfers its obligations under the applicable Hedge Agreement to a replacement counterparty with the requisite ratings, obtains a guarantee of its obligations by a guarantor with the requisite ratings, collateralises its obligations in a manner satisfactory to the Rating Agencies or employs some other such strategy as may be approved by the Rating Agencies.",1,,0.001763656036928296
"In addition to the characteristics described above, high yield securities frequently have call or redemption features that permit the issuer to redeem such obligations prior to their final maturity date. If such a call or redemption were exercised by an issuer during a period of declining interest rates, the Collateral Manager, acting on behalf of the Issuer, may only be able to replace such called obligation with a lower yielding obligation, thus decreasing the net investment income from the Portfolio.",1,,0.9999998807907104
"For the avoidance of doubt, and following the adoption of the final disclosure templates in respect of the EU Retention and Transparency Requirements if the Collateral Administrator agrees to assist the Issuer and the Collateral Manager in providing reporting on behalf of the Issuer, the Collateral Administrator will not assume any responsibility for the Issuerâ€™s obligations as the entity responsible for fulfilling the reporting obligations under the EU Retention and Transparency Requirements. In making available such information and reporting, the Collateral Administrator will not assume responsibility or liability to any third party, including the Noteholders and potential Noteholders (including for the use or onward disclosure of any such information or documentation), and shall have the benefit of the powers, protections and indemnities granted to it under the Collateral Management and Administration Agreement and the other Transaction Documents.",1,,0.9759618639945984
"In connection with such information and reporting, the Collateral Manager will not assume responsibility or liability to any third party, including the Noteholders and potential Noteholders, and shall have the benefit of the powers, protections and indemnities granted to it under the Collateral Management and Administration Agreement and the other Transaction Documents.",0,,0.034166138619184494
