line,tag,pred
IMPORTANT NOTICE,p,
"THIS OFFERING IS AVAILABLE ONLY (1) OUTSIDE THE UNITED STATES TO NON-U.S. PERSONS (AS DEFINED IN REGULATION S (""REGULATION S"") UNDER THE",p,
"U.S. SECURITIES ACT OF 1933 AS AMENDED (""SECURITIES ACT"")); AND (2) WITHIN THE UNITED STATES TO PERSONS AND OUTSIDE THE UNITED STATES TO",p,
"U.S. PERSONS (AS SUCH TERM IS DEFINED IN REGULATION S (""U.S. PERSONS"")), IN EACH CASE, WHO ARE BOTH QUALIFIED INSTITUTIONAL BUYERS (""QIBs"") (AS DEFINED IN RULE 144A (""RULE 144A"") UNDER THE SECURITIES ACT) IN RELIANCE ON RULE 144A AND QUALIFIED PURCHASERS (""QPs"") FOR THE PURPOSES OF SECTION 3(C)(7) OF THE UNITED STATES INVESTMENT COMPANY ACT OF 1940, AS AMENDED. EACH PURCHASER OF THE NOTES IN MAKING ITS PURCHASE WILL BE DEEMED TO HAVE MADE CERTAIN ACKNOWLEDGEMENTS, REPRESENTATIONS AND AGREEMENTS AS SET OUT BELOW AND UNDER ""PLAN OF DISTRIBUTION"" AND ""TRANSFER RESTRICTIONS"". PROSPECTIVE PURCHASERS ARE HEREBY NOTIFIED THAT THE SELLER OF THE NOTES MAY BE RELYING ON THE EXEMPTION FROM THE PROVISIONS OF SECTION 5 OF THE SECURITIES ACT PROVIDED BY RULE 144A. THE NOTES ARE SUBJECT TO OTHER RESTRICTIONS ON TRANSFERABILITY AND RESALE AS SET OUT IN ""PLAN OF DISTRIBUTION"" AND ""TRANSFER RESTRICTIONS"".",p,
"IMPORTANT: You must read the following before continuing. The following applies to the Prospectus attached to this electronic transmission, and you are therefore advised to read this carefully before reading, accessing or making any other use of the Prospectus. In accessing the Prospectus, you agree to be bound by the following terms and conditions, including any modifications to them at any time you receive any information from us as a result of such access.",p,
"NOTHING IN THIS ELECTRONIC TRANSMISSION CONSTITUTES AN OFFER TO SELL OR THE SOLICITATION OF AN OFFER TO BUY THE SECURITIES OF THE ISSUER IN THE UNITED STATES OR ANY OTHER JURISDICTION WHERE IT IS UNLAWFUL TO DO SO. THE NOTES HAVE NOT BEEN, AND WILL NOT BE, REGISTERED UNDER THE SECURITIES ACT, AS AMENDED, OR THE SECURITIES LAWS OF ANY STATE OF THE UNITED STATES. THE NOTES MAY NOT BE OFFERED OR SOLD WITHIN THE UNITED STATES OR TO, OR FOR THE ACCOUNT OR BENEFIT OF, U.S. PERSONS (AS DEFINED IN REGULATION S UNDER THE SECURITIES ACT), EXCEPT IN CERTAIN TRANSACTIONS EXEMPT FROM, OR NOT SUBJECT TO, THE REGISTRATION REQUIREMENTS OF THE SECURITIES ACT AND APPLICABLE STATE OR LOCAL SECURITIES LAWS.",p,
"THE FOLLOWING PROSPECTUS MAY NOT BE FORWARDED OR DISTRIBUTED TO ANY OTHER PERSON AND MAY NOT BE REPRODUCED IN ANY MANNER WHATSOEVER AND, IN PARTICULAR, MAY NOT BE FORWARDED WITHIN THE UNITED STATES TO PERSONS UNLESS SUCH PERSONS ARE BOTH QIBS AND QPs, IN EACH CASE FOR ITS OWN ACCOUNT FOR INVESTMENT PURPOSES AND NOT WITH A VIEW TO THE DISTRIBUTION THEREOF (EXCEPT IN ACCORDANCE WITH RULE 144A). ANY FORWARDING, DISTRIBUTION OR REPRODUCTION OF THIS PROSPECTUS IN WHOLE OR IN PART IS UNAUTHORISED. FAILURE TO COMPLY WITH THIS DIRECTIVE MAY RESULT IN A VIOLATION OF THE SECURITIES ACT OR THE APPLICABLE LAWS OF OTHER JURISDICTIONS.",p,
"This Prospectus has been delivered to you on the basis that you are a person into whose possession this Prospectus may be lawfully delivered in accordance with the laws of the jurisdiction in which you are located and you may not, nor are you authorised to, deliver this Prospectus to any other person. In order to be eligible to view this Prospectus or make an investment decision with respect to the securities, investors must either be (i) U.S. persons that are QIB/QPs or (ii) non-U.S. persons (within the meaning of Regulation S under the Securities Act). This Prospectus is being sent at your request",p,
"and by accessing the Prospectus, you shall be deemed to have confirmed and represented to us that",p,
"(i) you have understood and agree to the terms set out herein, (ii) you consent to delivery of the Prospectus by electronic transmission, (iii) you are either (x) a QIB/QP or (y) not a U.S. person (within the meaning of Regulation S under the Securities Act) or acting for the account or benefit of a",p,
"U.S. person and the electronic mail address that you have given to us and to which this e-mail has been delivered is not located in the United States, its territories and possessions (including Puerto Rico, the U.S. Virgin Islands, Guam, American Samoa, Wake Island and the Northern Mariana Islands) or the District of Columbia and (iv) if you are a person in the United Kingdom, then you are a person who (A) has professional experience in matters relating to investments within Article 19 of the Financial Services and Markets Act (Financial Promotion) Order 2005 (the ""FPO"") or (B) is a high net worth entity falling within Article 49(2)(a) to (d) of the FPO.",p,
"This Prospectus has been sent to you in an electronic form. You are reminded that documents transmitted via this medium may be altered or changed during the process of electronic transmission and consequently neither Citigroup Global Markets Limited nor Tikehau CLO II B.V. (the ""Issuer"") nor any person who controls any of them respectively (nor any director, officer, employee or agent of it or affiliate of any such person) accepts any liability or responsibility whatsoever in respect of any difference between the Prospectus distributed to you in electronic format and the hard copy version available to you on request from Citigroup Global Markets Limited or the Issuer.",p,
"If you are in any doubt about the contents of this Prospectus you should consult your stockbroker, bank manager, solicitor, account or other financial adviser.",p,
"DISTRIBUTION OF THE PROSPECTUS TO ANY PERSONS OTHER THAN THE PERSON RECEIVING THIS ELECTRONIC TRANSMISSION FROM THE ISSUER OR CITIGROUP GLOBAL MARKETS LIMITED AND THEIR RESPECTIVE AGENTS, AND ANY PERSONS RETAINED TO ADVISE THE PERSON RECEIVING THIS ELECTRONIC TRANSMISSION FROM THE ISSUER OR CITIGROUP GLOBAL MARKETS LIMITED IS UNAUTHORISED. ANY PHOTOCOPYING, DISCLOSURE OR ALTERATION OF THE CONTENTS OF THE PROSPECTUS, AND ANY FORWARDING OF A COPY OF THE PROSPECTUS OR ANY PORTION THEREOF BY ELECTRONIC MAIL OR ANY OTHER MEANS TO ANY PERSON OTHER THAN THE PERSON RECEIVING THIS ELECTRONIC TRANSMISSION FROM THE ISSUER OR CITIGROUP GLOBAL MARKETS LIMITED IS PROHIBITED. BY ACCEPTING DELIVERY OF THIS PROSPECTUS, THE RECIPIENT AGREES TO THE FOREGOING.",p,
TIKEHAU CLO II B.V.,p,
"(a private company with limited liability incorporated under the laws of The Netherlands, having its statutory seat in Amsterdam)",p,
Notes,p,
,td,
,td,
Initial Principal Amount,p,
,td,
,td,
Issue Price1,p,
,td,
,td,
"Initial Stated Interest Rate2,3",p,
,td,
,td,
Stated Interest Rate4,p,
,td,
,td,
Final Maturity Date,p,
,td,
,td,
Moody’s5 Rating6,p,
,td,
,td,
Fitch7 Rating6,p,
,td,
A,p,
,td,
,td,
"€ 244,000,000",p,
,td,
,td,
100%,p,
,td,
,td,
3 month EURIBOR,p,
1.06%,p,
,td,
,td,
6 month EURIBOR,p,
1.06%,p,
,td,
,td,
Dec-29,p,
,td,
,td,
Aaa(sf),p,
,td,
,td,
AAAsf,p,
,td,
B,p,
,td,
,td,
"€ 46,000,000",p,
,td,
,td,
100%,p,
,td,
,td,
3 month EURIBOR,p,
1.70%,p,
,td,
,td,
6 month EURIBOR,p,
1.70%,p,
,td,
,td,
Dec-29,p,
,td,
,td,
Aa2(sf),p,
,td,
,td,
AAsf,p,
,td,
C,p,
,td,
,td,
"€ 23,000,000",p,
,td,
,td,
100%,p,
,td,
,td,
3 month EURIBOR,p,
2.57%,p,
,td,
,td,
6 month EURIBOR,p,
2.57%,p,
,td,
,td,
Dec-29,p,
,td,
,td,
A2(sf),p,
,td,
,td,
Asf,p,
,td,
D,p,
,td,
,td,
"€ 18,000,000",p,
,td,
,td,
99.65%,p,
,td,
,td,
3 month EURIBOR,p,
3.60%,p,
,td,
,td,
6 month EURIBOR,p,
3.60%,p,
,td,
,td,
Dec-29,p,
,td,
,td,
Baa2(sf),p,
,td,
,td,
BBBsf,p,
,td,
E,p,
,td,
,td,
"€ 28,000,000",p,
,td,
,td,
96.05%,p,
,td,
,td,
3 month EURIBOR,p,
6.25%,p,
,td,
,td,
6 month EURIBOR,p,
6.25%,p,
,td,
,td,
Dec-29,p,
,td,
,td,
Ba2(sf),p,
,td,
,td,
BBsf,p,
,td,
F,p,
,td,
,td,
"€ 10,500,000",p,
,td,
,td,
86.80%,p,
,td,
,td,
3 month EURIBOR,p,
7.50%,p,
,td,
,td,
6 month EURIBOR,p,
7.50%,p,
,td,
,td,
Dec-29,p,
,td,
,td,
B2(sf),p,
,td,
,td,
B-sf,p,
,td,
Subordinated,p,
,td,
,td,
"€ 44,700,000",p,
,td,
