line,tag,pred
IMPORTANT NOTICE,h3,
,p,
You must read the following disclaimer before continuing,p,
"THIS OFFERING CIRCULAR MAY NOT BE FORWARDED OR DISTRIBUTED TO ANY OTHER PERSON AND MAY NOT BE REPRODUCED IN ANY MANNER WHATSOEVER, AND IN PARTICULAR, MAY NOT BE TRANSMITTED INTO OR DISTRIBUTED WITHIN THE UNITED STATES TO PERSONS UNLESS SUCH PERSONS ARE BOTH ""QUALIFIED INSTITUTIONAL BUYERS"" (""QIBs"") (AS DEFINED IN RULE 144A (""RULE 144A"") UNDER THE U.S. SECURITIES ACT OF 1933, AS AMENDED (THE ""SECURITIES ACT"")) IN RELIANCE ON RULE 144A AND ""QUALIFIED PURCHASERS"" (""QPs"") FOR THE PURPOSES OF SECTION 3(c)(7) OF THE INVESTMENT COMPANY ACT OF 1940, AS AMENDED (THE ""INVESTMENT COMPANY ACT""), IN EACH CASE FOR ITS OWN ACCOUNT FOR INVESTMENT PURPOSES AND NOT WITH A VIEW TO THE DISTRIBUTION THEREOF (EXCEPT IN ACCORDANCE WITH RULE 144A).",p,
"THIS DOCUMENT IS NOT A PROSPECTUS FOR THE PURPOSES OF REGULATION (EU) 2017/1129 (AS MAY BE AMENDED OR SUPERSEDED FROM TIME TO TIME, THE ""PROSPECTUS REGULATION"") OR ANY IMPLEMENTING LEGISLATION OR RULES RELATING THERETO. COPIES OF THE FINAL DOCUMENT WILL, FOLLOWING PUBLICATION, BE AVAILABLE FROM OCP EURO CLO 2020-4 DESIGNATED ACTIVITY COMPANY'S REGISTERED OFFICE AND THE WEBSITE OF EURONEXT DUBLIN.",p,
THIS DOCUMENT DOES NOT CONSTITUTE AN OFFER TO SELL OR THE SOLICITATION OF AN OFFER TO BUY ANY NOTES OF THE ISSUER. THE DEFINITIVE TERMS OF THE TRANSACTIONS DESCRIBED HEREIN WILL BE CONTAINED IN THE FINAL DOCUMENT.,p,
"The following disclaimer applies to the document attached following this notice (the ""document"") and you are therefore required to read this disclaimer page carefully before reading, accessing or making any other use of the document. In accessing the document, you agree to be bound by the following terms and conditions, including any modifications to them from time to time, each time you receive any information from us as a result of such access.",p,
"The document is only being provided to you at your request as a general explanation of the structure of the transaction described therein and is not intended to constitute or form part of an offer to sell or an invitation or solicitation of an offer to sell the notes described therein, nor shall it (or any part of it), or the fact of its distribution, form the basis of or be relied on in connection with any contract therefor.",p,
"Nothing in this electronic transmission constitutes an offer of securities for sale in any jurisdiction where it is unlawful to do so. The Notes (as defined in the attached document) have not been, and will not be, registered under the Securities Act, or the securities laws of any state of the U.S. or any other jurisdiction and the Notes may not be offered or sold within the U.S. or to, or for the account or benefit of, ""U.S. persons"" (as defined in Regulation S under the Securities Act (""Regulation S"")), except pursuant to an exemption from, or in a transaction not subject to, the registration requirements of the Securities Act and applicable state or local securities laws.",p,
"The document and any information contained herein shall remain our property and in sending the document to you, no rights (including any intellectual property rights) over the document and the information contained therein have been given to you. We specifically prohibit the redistribution of the document and accept no liability whatsoever for the actions of third parties in this respect.",p,
"Notwithstanding anything to the contrary herein, you (and your employees, representatives, or other agents) may disclose to any and all persons, without limitation of any kind, the U.S. federal, state, and local tax treatment of the Issuer, the Notes, and the transactions referenced herein and all materials of any kind (including opinions or other U.S. tax analyses) relating to such",p,
"U.S. federal, state, and local tax treatment and that may be relevant to understanding such U.S. federal, state, and local tax treatment.",p,
"Confirmation of Your Representation: In order to be eligible to view the document or make an investment decision with respect to the securities, investors must either be (a) U.S. Persons that are QIBs that are also QPs or (b) non-""U.S. persons"" acquiring such securities in an ""offshore transaction"" (as such terms are defined in, and in accordance with, Regulation S under the Securities Act). The document is being sent at your request and by accepting the e-mail and accessing the document, you shall be deemed to have represented to us that (1) you and any customers you represent are either (a) U.S. Persons that are both QIBs and QPs or (b) non-U.S. Persons and that the electronic email address that you gave us and to which this email has been delivered is not located in the U.S., (2) such acceptance and access to the document by you and any customer that you represent is not unlawful in the jurisdiction where it is being made to you and any customers you represent and (3) you consent to delivery of the document by electronic transmission.",p,
"The document has been sent to you in the belief that you are (a) a person in member states of the European Economic Area (""EEA"") or the UK that is a ""qualified investor"" as defined in Regulation (EU) 2017/1129 (as amended) (""Qualified Investor""), (b) in the United Kingdom (the ""UK""), a Qualified Investor of the kind described in Article 49(2)(a) to (d) (high net worth companies, unincorporated associations, etc.) of the UK Financial Services and Markets Act 2000 (Financial Promotion) Order 2005 or who otherwise falls within an exemption set forth in such Order so that section 21(1) of the Financial Services and Markets Act 2000 (as amended) does not apply to the Issuer and (c) a person to whom the document can be sent",p,
lawfully in accordance with all other applicable securities laws. If this is not the case then you must return the document immediately.,p,
"The document has been sent to you in electronic form. You are reminded that documents transmitted via this medium may be altered or changed during the process of transmission and consequently none of OCP Euro CLO 2020-4 Designated Activity Company, Credit Suisse Securities (Europe) Limited, Onex Credit Partners, LLC, Onex Credit Partners Europe LLP, OMI PH USD CP LLC, Citibank N.A., London Branch or Virtus Group LP (or any person who controls any of them or any director, officer, employee or agent of any of them, or any Affiliate of any such person) accepts any liability or responsibility whatsoever in respect of any difference between the document distributed to you in electronic format and the hard copy version available to you on request from us.",p,
You are reminded that the document has been delivered to you on the basis that you are a person into whose possession the document may be lawfully delivered in accordance with the laws of the jurisdiction in which you are located and you may not nor are you authorised to deliver the document to any other person.,p,
OCP EURO CLO 2020-4 DESIGNATED ACTIVITY COMPANY,h3,
"(a designated activity company incorporated under the laws of Ireland, under company number 655087)",p,
"€145,000,000 Class A Senior Secured Floating Rate Notes due 2033",h3,
"€13,000,000 Class B-1 Senior Secured Floating Rate Notes due 2033",p,
"€12,500,000 Class B-2 Senior Secured Fixed Rate Notes due 2033",h3,
"€20,500,000 Class C Senior Secured Deferrable Floating Rate Notes due 2033",p,
"€14,000,000 Class D Senior Secured Deferrable Floating Rate Notes due 2033",h3,
"€10,500,000 Class E Senior Secured Deferrable Floating Rate Notes due 2033",p,
"€5,000,000 Class F Senior Secured Deferrable Floating Rate Notes due 2033",h3,
"€31,000,000 Subordinated Notes due 2033",p,
"The assets securing the Notes (as defined herein) will consist primarily of a portfolio of Senior Obligations, Mezzanine Obligations and High Yield Bonds managed by Onex Credit Partners, LLC (the ""Portfolio Manager"").",p,
"OCP Euro CLO 2020-4 Designated Activity Company (the ""Issuer"") will issue the Class A Notes, the Class B-1 Notes, the Class B-2 Notes, the Class C Notes, the Class D Notes, the Class E Notes, the Class F Notes and the Subordinated Notes (each as defined herein) on or about 24 June 2020 (the ""Issue Date"").",p,
"The Class A Notes, the Class B-1 Notes, the Class B-2 Notes, the Class C Notes, the Class D Notes, the Class E Notes and the Class F Notes (such Classes, the ""Rated Notes"" and together with the Subordinated Notes are collectively referred to herein as the ""Notes""). The Notes will be issued and secured pursuant to a trust deed (the ""Trust Deed"") dated on or about Issue Date, made between (amongst others) the Issuer and Citibank N.A., London Branch in its capacity as trustee (the ""Trustee"").",p,
"Interest on the Notes will be payable (i) quarterly in arrear on 22 January, 22 April, 22 July and 22 October at any time other than following the occurrence of a Frequency Switch Event (as defined herein); and (ii) semi-annually in arrear following the occurrence of a Frequency Switch Event on (A) 22 January and 22 July (where the Payment Date immediately prior to the occurrence of the relevant Frequency Switch Event is in either January or July), or (B) 22 April and 22 October (where the Payment Date immediately prior to the occurrence of the relevant Frequency Switch Event is in either April or October), commencing on 22 January 2021 and ending on the Maturity Date (as defined herein) (subject to any earlier redemption of the Notes and in each case subject to adjustment for non-Business Days in accordance with the Conditions and in accordance with the Priorities of Payment).",p,
"The Notes will be subject to Optional Redemption, Mandatory Redemption and Special Redemption, each as described herein. See Condition 7 (Redemption and Purchase).",p,
"See the section titled ""Risk Factors"" herein for a discussion of certain factors to be considered in connection with an investment in the Notes.",p,
"This Offering Circular does not constitute a prospectus for the purposes of Article 6 of Regulation 2017/1129 (as may be amended or superseded from time to time), (the ""Prospectus Regulation""). The Issuer is not offering the Notes in any jurisdiction in circumstances that would require a prospectus to be prepared pursuant to the Prospectus Regulation. Application has been made to Euronext Dublin for the Notes to be admitted to the Official List (the ""Official List"") and trading on the Global Exchange Market of Euronext Dublin (the ""Global Exchange Market""). There can be no assurance that any listing and admission to trading will be maintained. This Offering Circular will constitute listing particulars for the purpose of such application and has been approved by Euronext Dublin.",p,
"The Notes are limited recourse obligations of the Issuer which are payable solely out of amounts received by or on behalf of the Issuer in respect of the Collateral (as defined herein). The net proceeds of the realisation of the security over the Collateral upon acceleration of the Notes following a Note Event of Default (as defined herein) may be insufficient to pay all amounts due on the Notes after making payments to other creditors of the Issuer ranking in priority thereto or pari passu therewith. In the event of a shortfall in such proceeds, the Issuer will not be obliged to pay, and the other assets (including the Irish Excluded Assets (as defined herein)) of the Issuer will not be available for payment of such shortfall, all claims in respect of such shortfall will be extinguished. See Condition 4(c) (Limited Recourse and Non-Petition).",p,
"The Notes have not been registered under the United States Securities Act of 1933, as amended (the ""Securities Act"") and will be offered only: (a) outside the United States to non-""U.S. persons"" acquiring the Notes in an ""offshore transaction"" (as such terms are defined in, and in accordance with, Regulation S under the Securities Act (""Regulation S"")); and (b) within the United States to persons and outside the United States to ""U.S. persons"" (as such term is defined in Regulation S under the Securities Act (""U.S. Persons"")), in each case, who are both qualified institutional buyers (as defined in Rule 144A under the Securities Act (""Rule 144A"")) in reliance on Rule 144A and qualified purchasers for the purposes of Section 3(c)(7) of the United States Investment Company Act of 1940, as amended (the ""Investment Company Act""). The Issuer will not be registered under the Investment Company Act. Interests in the Notes will be subject to certain restrictions on transfer, and each purchaser of the Notes offered hereby in making its purchase will be deemed to have made certain acknowledgements, representations and agreements. See the sections titled ""Plan of Distribution"" and ""Transfer Restrictions"".",p,
The Notes are being issued at a maximum issue price of 100 per cent. of the principal amount thereof. The Notes are being offered by the Issuer through Credit Suisse Securities (Europe) Limited in its capacity as initial purchaser of the offering of,p,
"the Notes (the ""Initial Purchaser"") subject to prior sale, when, as and if delivered to and accepted by the Initial Purchaser, and to certain conditions. It is expected that delivery of the Notes will be made on or about the Issue Date. The Initial Purchaser may offer the Notes at prices as may be negotiated at the time of sale which may vary among different purchasers and be different to the issue price of the Notes.",p,
Credit Suisse Securities (Europe) Limited Sole Arranger and Initial Purchaser,h3,
The date of this Offering Circular is 23 June 2020,p,
"The Issuer accepts responsibility for the information contained in this document and, to the best of the knowledge and belief of the Issuer (which has taken all reasonable care to ensure that such is the case), the information included in this document is in accordance with the facts and does not omit anything likely to affect the import of such information. The Portfolio Manager accepts responsibility for the information contained in the sections of this document headed ""Risk Factors – Certain Conflicts of Interest – Certain Conflicts of Interest Involving or Relating to the Portfolio Manager and its Affiliates (including the Originator and the Portfolio Sub-Manager)"", ""Description of the Portfolio Manager"", ""Description of Origination and the EU Retention and Disclosure Requirements – The Originator"", ""Description of Origination and the EU Retention and Disclosure Requirements",p,
"– Origination of Collateral Obligations"", ""U.S. Credit Risk Retention"", ""Description of the Portfolio Sub- Manager"", ""Description of the Portfolio Sub-Management Agreement"" and the fifth paragraph of ""Risk Factors",p,
"– Risk Retention and Due Diligence Requirements – U.S. Risk Retention Rules"" (together, the ""Portfolio Manager Information""). To the best of the knowledge and belief of the Portfolio Manager (which has taken all reasonable care to ensure that such is the case), such information is in accordance with the facts and does not omit anything likely to affect the import of such information. The Collateral Administrator accepts responsibility for the information contained in the section of this document headed ""Description of the Collateral Administrator - General"". To the best of the knowledge and belief of the Collateral Administrator (which has taken all reasonable care to ensure that such is the case), such information is in accordance with the facts and does not omit anything likely to affect the import of such information. Except as specified above, none of Portfolio Manager or the Collateral Administrator accepts any responsibility for the accuracy and completeness of any information contained in this Offering Circular. The delivery of this Offering Circular at any time does not imply that the information herein is correct at any time subsequent to the date of this Offering Circular.",p,
,p,
