line,tag,pred
IMPORTANT NOTICE,h3,
You are reminded that the document has been delivered to you on the basis that you are a person into whose possession the document may be lawfully delivered in accordance with the laws of the jurisdiction in which you are located and you may not nor are you authorised to deliver the document to any other person.,p,
OCP EURO CLO 2020-4 DESIGNATED ACTIVITY COMPANY,h3,
"Each recipient of this Offering Circular, to the extent it considers the U.S. Risk Retention Rules to be relevant to its decision to invest, should independently assess and determine the sufficiency, for the purposes of complying with the U.S. Risk Retention Rules, of the information set forth in this Offering Circular, and should consult with its own legal, accounting and other advisors or its national regulator to determine whether, and to what extent, such information is sufficient for such purposes and with respect to any other related requirements of which it is uncertain. By purchasing any Notes, each Noteholder will be deemed to have represented that, as a sophisticated investor, it has reviewed the disclosures in the section of this Offering Circular titled ""U.S. Credit Risk Retention"" and understands the limitations of the methodologies set forth therein and will make its own determination with respect to the fair value of any Notes it purchases.",p,
VOLCKER RULE,h3,
"ALL REFERENCES TO EU LAWS AND REGULATIONS IN THIS OFFERING CIRCULAR SHALL BE READ TO INCLUDE THE EUROPEAN UNION (WITHDRAWAL AGREEMENT) ACT 2020 (THE ""WITHDRAWAL ACT"") WHICH IMPLEMENTS SUCH LAW AND REGULATION INTO UNITED KINGDOM LAW AND ANY SUBSEQUENT UK LEGISLATION WHICH REPLACES, AMENDS, SUPERSEDES SUCH LAW OR REGULATION, IN EACH CASE, AS AMENDED FROM TIME TO TIME.",h2,
General Notice,h3,
"This Offering Circular has been prepared by the Issuer solely for use in connection with the offering of the Notes described herein (the ""Offering""). Each of the Issuer and the Initial Purchaser reserves the right to reject any offer to purchase Notes in whole or in part for any reason, or to sell less than the stated initial principal amount of any Class of Notes offered hereby. This Offering Circular is personal to each offeree to whom it has been delivered by the Issuer, the Initial Purchaser or any Affiliate thereof and does not constitute an offer to any other person or to the public generally to subscribe for or otherwise acquire the Notes. Distribution of this Offering Circular to any persons other than the offeree and those persons, if any, retained to advise such offeree with respect thereto is unauthorised and any disclosure of any of its contents, without the prior written consent of the Issuer, is prohibited. Any reproduction or distribution of this Offering Circular in whole or in part and any disclosure of its contents or use of any information herein for any purpose other than considering an investment in the securities offered herein is prohibited.",p,
Available Information,h3,
Legal Entity Identification,h3,
Application has been made to Euronext Dublin for the Notes to be admitted to the Official List and trading on its Global Exchange Market which is the exchange regulated market of Euronext Dublin. The Global Exchange Market is not a regulated market for the purposes of Directive 2014/65/EU. There can be no assurance that such listing will be maintained.,p,
No Significant or Material Change,h3,
"The assets securing the Notes (as defined herein) will consist primarily of a portfolio of Senior Obligations, Mezzanine Obligations and High Yield Bonds managed by Sculptor Europe Loan Management Limited (the “Collateral Manager”).",p,"{'Title': 2.391939801782428e-07, 'Paragraph': 0.9999997615814209}"
"(d) (high net worth companies, unincorporated associations, etc.) of the UK Financial Services and Markets Act",p,
"The Collateral Manager (acting on behalf of the Issuer) shall promptly, following receipt of the Effective Date Report, request that each of the Rating Agencies (to the extent not previously received) confirm its Initial Ratings of the Rated Notes; provided that (x) if the Effective Date Moody’s Condition is satisfied then such Rating Agency Confirmation shall be deemed to have been received from Moody’s and (y) if the Effective Date S&P Condition is satisfied then such Rating Agency Confirmation shall be deemed to have been received from S&P. If the Effective Date Moody’s Condition is not satisfied within 20 Business Days following the Effective Date, the Collateral Manager shall promptly notify Moody’s. If (i) (a) the Effective Date Determination Requirements are not satisfied and Rating Agency Confirmation has not been received in respect of such failure, and (b) either the Collateral Manager (acting on behalf of the Issuer) does not present a Rating Confirmation Plan to the Rating Agencies, or Rating Agency Confirmation is not received in respect of such Rating Confirmation Plan upon request therefor by the Collateral Manager; or (ii) the Effective Date S&P Condition is not satisfied or the Effective Date Moody’s Condition is not satisfied, an Effective Date Rating Event shall have occurred, provided that any downgrade or withdrawal of the Initial Ratings of the Rated Notes which is not directly related to a request for confirmation thereof or which occurs after confirmation thereof by the Rating Agencies shall not constitute an Effective Date Rating Event. If an Effective Date Rating Event has occurred and is continuing on the Business Day prior to the Payment Date next following the Effective Date, the Rated Notes shall be redeemed, pursuant to Condition 7(e) (Redemption upon Effective Date Rating Event) on such Payment Date and thereafter on each Payment Date (to the extent required) out of Interest Proceeds and thereafter out of Principal Proceeds subject to the Priorities of Payment, until the earlier of (x) the date on which the Effective Date Rating Event is no longer continuing and (y) the date on which the Rated Notes have been redeemed in full. The Collateral Manager shall notify the Rating Agencies upon the discontinuance of an Effective Date Rating Event.",p,
"During such time as an Effective Date Rating Event shall have occurred and be continuing, the Collateral Manager (acting on behalf of the Issuer) may prepare and present to the Rating Agencies a Rating Confirmation Plan setting forth the timing and manner of acquisition of additional Collateral Obligations and/or any other intended action which is intended to cause confirmation or reinstatement of the Initial Ratings. The Collateral Manager (acting on behalf of the Issuer) is under no obligation whatsoever to present a Rating Confirmation Plan to the Rating Agencies.",p,
"On and prior to the Issue Date, the Collateral Manager has caused to be acquired by the Issuer (a) a portfolio of Secured Senior Obligations, Unsecured Senior Loans, Second Lien Loans, Mezzanine Obligations and High Yield Bonds, the details of which as at 7 August 2019 with respect to the latest Payment Date Report are set out in Annex E (Payment Date Report) and 7 October 2019 with respect to the latest Monthly Report as set out in Annex F (Monthly Report) hereto; and (b) from Barclays Bank PLC pursuant to the Forward Purchase Agreement, the Forward Purchase Collateral Obligations on the Issue Date.",p,
"Such information is limited and does not provide a full description of all Collateral Obligations previously held or sold by the Issuer, nor the gains or losses associated with purchases or sales of Collateral Obligations, nor the levels of compliance with the Coverage Tests and Collateral Quality Tests (or any other tests applicable to the Portfolio) during periods prior to the periods covered by the latest Monthly Report and/or the latest Payment Date Report. Such reports contain information as of the dates specified therein and none of the reports are calculated as of the date of this Offering Circular. As such, the information in the report may no longer reflect the characteristics of the Collateral Obligations as of the date of this Offering Circular or on or after the Issue Date.",p,
Eligibility Criteria,p,
"Each Collateral Obligation must at the time of entering into a binding commitment to acquire such obligation by, or on behalf of, the Issuer satisfy the following criteria (the “Eligibility Criteria”) as determined by the Collateral Manager in its reasonable discretion (with capitalised terms in each case read and construed as if such obligation was a Collateral Obligation) (for the avoidance of doubt, the Eligibility Criteria shall not be re-applied as of the Issue Date to obligations purchased by the Issuer prior to the Issue Date provided that (i) an Original Issue Date Collateral Obligation must have satisfied the Original Eligibility Criteria on the Original Issue Date, (ii) a Collateral Obligation (other than a Forward Purchase Collateral Obligation or an Original Issue Date Collateral Obligation) purchased prior to the Issue Date must have satisfied the Original Eligibility Criteria on the date on",p,
which a binding commitment to purchase it was entered into and (iii) a Forward Purchase Collateral Obligation shall only be required to satisfy the Eligibility Criteria at the time the Collateral Manager (on behalf of the Issuer) requested the acquisition of such obligation for the purposes of onward sale to the Issuer pursuant to the terms of the Forward Purchase Agreement):,p,
"(a) it is a Secured Senior Loan, a Secured Senior Bond, a Corporate Rescue Loan, an Unsecured Senior Loan, a Mezzanine Obligation, a Second Lien Loan or a High Yield Bond, in each case;",p,
(b) it is:,p,
DESCRIPTION OF THE COLLATERAL MANAGEMENT AGREEMENT,h2,
The following description of the Collateral Management Agreement consists of a summary of certain provisions of the Collateral Management Agreement which does not purport to be complete and is qualified by reference to the detailed provisions of such agreement.,p,
IMPORTANT NOTICE,h2,
