line,tag,pred
IMPORTANT NOTICE,h2,"{'Title': 0.08721606433391571, 'Paragraph': 0.9127839803695679}"
"THIS DOCUMENT MAY NOT BE FORWARDED OR DISTRIBUTED TO ANY OTHER PERSON AND MAY NOT BE REPRODUCED IN ANY MANNER WHATSOEVER, AND IN PARTICULAR, MAY NOT BE TRANSMITTED INTO OR DISTRIBUTED WITHIN THE UNITED STATES TO PERSONS UNLESS SUCH PERSONS ARE BOTH “QUALIFIED INSTITUTIONAL BUYERS” (“QIBs”) (AS DEFINED IN RULE 144A UNDER THE U.S. SECURITIES ACT OF 1933, AS AMENDED (THE “SECURITIES ACT”)) IN RELIANCE ON RULE 144A UNDER THE SECURITIES ACT AND “QUALIFIED PURCHASERS” (“QPs”) FOR THE PURPOSES OF SECTION 3(c)(7) OF THE INVESTMENT COMPANY ACT OF 1940, AS AMENDED (THE “INVESTMENT COMPANY ACT”), IN EACH CASE FOR ITS OWN ACCOUNT FOR INVESTMENT PURPOSES AND NOT WITH A VIEW TO THE DISTRIBUTION THEREOF (EXCEPT IN ACCORDANCE WITH RULE 144A).",p,"{'Title': 0.0013799392618238926, 'Paragraph': 0.9986200332641602}"
"The following disclaimer applies to the document attached following this notice (the “document”) and you are therefore required to read this disclaimer page carefully before reading, accessing or making any other use of the document. In accessing the document, you agree to be bound by the following terms and conditions, including any modifications to them from time to time, each time you receive any information from us as a result of such access.",p,"{'Title': 0.0005530948983505368, 'Paragraph': 0.9994469285011292}"
"The document is only being provided to you at your request as a general explanation of the structure of the transaction described therein and is not intended to constitute or form part of an offer to sell or an invitation or solicitation of an offer to sell the notes described therein, nor shall it (or any part of it), or the fact of its distribution, form the basis of or be relied on in connection with any contract therefor.",p,"{'Title': 0.0006660078652203083, 'Paragraph': 0.999333918094635}"
"Nothing in this electronic transmission constitutes an offer of securities for sale in any jurisdiction where it is unlawful to do so. The Notes have not been, and will not be, registered under the Securities Act, or the securities laws of any state of the U.S. or any other jurisdiction and the Notes may not be offered or sold within the U.S. or to, or for the account or benefit of, U.S. Persons (as defined in Regulation S under the Securities Act), except pursuant to an exemption from, or in a transaction not subject to, the registration requirements of the Securities Act and applicable state or local securities laws.",p,"{'Title': 0.0027566340286284685, 'Paragraph': 0.9972434043884277}"
"The contents of the document are confidential and may not be copied, distributed, published, reproduced or reported (in whole or in part) or disclosed by you to any other person. If at any time we request that the document be returned, you will (a) return the document and (b) arrange to destroy all analyses, compilations, notes, structures, memoranda or other documents prepared by you to the extent that the same contain, reflect or derive from information in the document and (c) so far as is practicable to do so (but, in any event, without prejudice to the obligations of confidentiality imposed herein) expunge any information relating to the document in electronic form from any computer, word processor or other device. The document and any information contained herein shall remain our property and in sending the document to you, no rights (including any intellectual property rights) over the document and the information contained therein has been given to you. We specifically prohibit the redistribution of the document and accept no liability whatsoever for the actions of third parties in this respect.",p,"{'Title': 0.0014859132934361696, 'Paragraph': 0.9985141158103943}"
"Confirmation of Your Representation: In order to be eligible to view the document or make an investment decision with respect to the securities, investors must either be (a) U.S. Persons that are QIBs that are also QPs or",p,"{'Title': 0.0004922124207951128, 'Paragraph': 0.9995077848434448}"
"(b) non-U.S. Persons (in compliance with Regulation S under the Securities Act). The document is being sent at your request and by accepting the e-mail and accessing the document, you shall be deemed to have represented to us that (1) you and any customers you represent are either (a) both QIBs and QPs or (b) non-U.S. Persons and that the electronic e-mail address that you gave us and to which this e-mail has been delivered is not located in the U.S., (2) such acceptance and access to the document by you and any customer that you represent is not unlawful in the jurisdiction where it is being made to you and any customers you represent, (3) that you consent to delivery of the document by electronic transmission and (4) you consent to accept delivery by electronic transmission of the final offering circular on distribution and publication of the same.",p,"{'Title': 0.001188145950436592, 'Paragraph': 0.9988118410110474}"
The document has been sent to you in the belief that you are (a) a person of the kind described in Article 49(2)(a) to,p,"{'Title': 0.004172534216195345, 'Paragraph': 0.9958274960517883}"
"(d) (high net worth companies, unincorporated associations, etc.) of the UK Financial Services and Markets Act",p,"{'Title': 0.0007662387215532362, 'Paragraph': 0.9992337226867676}"
