line,tag,pred
Sculptor European CLO VII DAC,p,
"(a designated activity company limited by shares incorporated under the laws of Ireland with registered number 643644 and having its registered office at 3rd Floor, Kilmore House, Park Lane, Spencer Dock, Dublin 1, Ireland)",p,
"€186,000,000 Class A Senior Secured Floating Rate Notes due 2034",p,
"€11,200,000 Class B-1 Senior Secured Floating Rate Notes due 2034",p,
"€12,400,000 Class B-2 Senior Secured Fixed Rate Notes due 2034",p,
"€18,900,000 Class C Senior Secured Deferrable Floating Rate Notes due 2034",p,
"€20,500,000 Class D Senior Secured Deferrable Floating Rate Notes due 2034",p,
"€18,600,000 Class E Senior Secured Deferrable Floating Rate Notes due 2034",p,
"€5,100,000 Class F Senior Secured Deferrable Floating Rate Notes due 2034",p,
"€15,000,000 Class Z Notes due 2034",p,
"€28,050,000 Subordinated Notes due 2034",p,
"The assets securing the Notes (as defined herein) will consist primarily of a portfolio of Senior Obligations, Mezzanine Obligations and High Yield Bonds managed by Sculptor Europe Loan Management Limited (the “Collateral Manager”).",p,
"Sculptor European CLO VII DAC (the “Issuer”) will, subject to certain conditions, issue the €186,000,000 Class A Senior Secured Floating Rate Notes due 2034 (the “Class A Notes”), €11,200,000 Class B-1 Senior Secured Floating Rate Notes due 2034 (the “Class B-1 Notes”), €12,400,000 Class B-2 Senior Secured Fixed Rate Notes due 2034 (the “Class B-2 Notes” and together with the Class B-1 Notes, the “Class B Notes”), €18,900,000 Class C Senior Secured Deferrable Floating Rate Notes due 2034 (the “Class C Notes”), €20,500,000 Class D Senior Secured Deferrable Floating Rate Notes due 2034 (the “Class D Notes”), €18,600,000 Class E Senior Secured Deferrable Floating Rate Notes due 2034 (the “Class E Notes”), €5,100,000 Class F Senior Secured Deferrable Floating Rate Notes due 2034 (the “Class F Notes”), €15,000,000 Class Z Notes due 2034 (the “Class Z Notes”) and the €28,050,000 Subordinated Notes due 2034 (the “Subordinated Notes”) on or about 11 December 2020 (the “Issue Date”).",p,
"The Class A Notes, the Class B-1 Notes, the Class B-2 Notes, the Class C Notes, the Class D Notes, the Class E Notes and the Class F Notes (such Classes, the “Rated Notes” and together with the Class Z Notes and the Subordinated Notes are collectively referred to herein as the “Notes”). The Notes will be issued and secured pursuant to a trust deed (the “Trust Deed”) dated on or about Issue Date, made between (amongst others) the Issuer and BNY Mellon Corporate Trustee Services Limited in its capacity as trustee (the “Trustee”).",p,
"Interest on the Notes will be payable (i) quarterly in arrear on 15 January, 15 April, 15 July and 15 October of each year, other than following the occurrence of a Frequency Switch Event (as defined herein); and (ii) semi-annually in arrear following the occurrence of a Frequency Switch Event on (A) 15 January and 15 July of each year (where the Payment Date immediately prior to the occurrence of the relevant Frequency Switch Event falls in either January or July of any year), or (B) 15 April and 15 October of each year (where the Payment Date immediately prior to the occurrence of the relevant Frequency Switch Event falls in either April or October of any year), commencing on 15 July 2021 and ending on the Maturity Date (as defined herein) (subject to any earlier redemption of the Notes and in each case (i) subject to adjustment for non-Business Days in accordance with the Conditions and (ii) in accordance with the Priorities of Payment).",p,
"The Notes will be subject to Optional Redemption, Mandatory Redemption and Special Redemption, each as described herein. See Condition 7 (Redemption and Purchase).",p,
See the section entitled “Risk Factors” herein for a discussion of certain factors to be considered in connection with an investment in the Notes.,p,
The Issuer expects to be a “covered fund” for the purposes of the Volcker Rule. See “Risk Factors – Regulatory Initiatives – Volcker Rule”.,p,
"This Offering Circular does not constitute a prospectus for the purposes of Regulation 2017/1129/EU (as amended from time to time, the “Prospectus Regulation”). The Issuer is not offering the Notes in any jurisdiction in circumstances that would require a prospectus to be prepared pursuant to the Prospectus Regulation. Application has been made to The Irish Stock Exchange plc trading as Euronext Dublin (the “Euronext Dublin”) for the Notes to be admitted to the official list (the “Official List”) and to trading on the Global Exchange Market of Euronext Dublin (the “Global Exchange Market”) which is the exchange regulated market of Euronext Dublin. The Global Exchange Market is not a regulated market for the purposes of Directive 2014/65/EU. There can be no assurance any that such listing will be maintained. Euronext Dublin has approved this Offering Circular as listing particulars.",p,
"The Notes are limited recourse obligations of the Issuer which are payable solely out of amounts received by or on behalf of the Issuer in respect of the Collateral (as defined herein). The net proceeds of the realisation of the security over the Collateral upon acceleration of the Notes following a Note Event of Default (as defined herein) may be insufficient to pay all amounts due on the Notes after making payments to other creditors of the Issuer ranking in priority thereto or pari passu therewith. In the event of a shortfall in such proceeds, the Issuer will not be obliged to pay, and the other assets (including the Issuer Profit Account and the rights of the Issuer under the Corporate Services Agreement (each as defined herein)) of the Issuer will not be available for payment of such shortfall, all claims in respect of such shortfall will be extinguished. See Condition 4(c) (Limited Recourse and Non-Petition).",p,
"The Notes have not been registered under the United States Securities Act of 1933, as amended (the “Securities Act”) and will be offered only: (a) to non-“U.S. Persons” acquiring the Notes in an “offshore transaction” (as such terms are defined in, and",p,
"in accordance with, Regulation S under the Securities Act (“Regulation S”)); and (b) within the United States to persons and outside the United States to U.S. Persons (as such term is defined in Regulation S (“U.S. Persons”)), in each case, who are both qualified institutional buyers (as defined in Rule 144A under the Securities Act (“Rule 144A”)) in reliance on Rule 144A and qualified purchasers for the purposes of Section 3(c)(7) of the United States Investment Company Act of 1940, as amended (the “Investment Company Act”). The Issuer will not be registered under the Investment Company Act. Interests in the Notes will be subject to certain restrictions on transfer, and each purchaser of the Notes offered hereby in making its purchase will be deemed to have made certain acknowledgements, representations and agreements. See “Plan of Distribution” and “Transfer Restrictions”.",p,
"The Notes (other than certain Class Z Notes being sold directly by the Issuer to Sculptor Europe Loan Management Limited (the “Retention Holder”)) (the “Subscribed Notes”) are being offered by the Issuer through Barclays Bank PLC in its capacity as initial purchaser of the offering of such Subscribed Notes (the “Initial Purchaser”) subject to prior sale, when, as and if delivered to and accepted by the Initial Purchaser, and to certain conditions. It is expected that delivery of the Notes will be made on or about the Issue Date. The Initial Purchaser and the Issuer may offer the Notes at prices as may be negotiated at the time of sale, which may vary among different purchasers and which may be different to the issue price of the Notes.",p,
Sole Arranger and Initial Purchaser,h3,
The date of this Offering Circular is 10 December 2020,p,
