line,tag,pred
IMPORTANT NOTICE,h3,
You are reminded that the document has been delivered to you on the basis that you are a person into whose possession the document may be lawfully delivered in accordance with the laws of the jurisdiction in which you are located and you may not nor are you authorised to deliver the document to any other person.,p,
OCP EURO CLO 2020-4 DESIGNATED ACTIVITY COMPANY,h3,
"Each recipient of this Offering Circular, to the extent it considers the U.S. Risk Retention Rules to be relevant to its decision to invest, should independently assess and determine the sufficiency, for the purposes of complying with the U.S. Risk Retention Rules, of the information set forth in this Offering Circular, and should consult with its own legal, accounting and other advisors or its national regulator to determine whether, and to what extent, such information is sufficient for such purposes and with respect to any other related requirements of which it is uncertain. By purchasing any Notes, each Noteholder will be deemed to have represented that, as a sophisticated investor, it has reviewed the disclosures in the section of this Offering Circular titled ""U.S. Credit Risk Retention"" and understands the limitations of the methodologies set forth therein and will make its own determination with respect to the fair value of any Notes it purchases.",p,
VOLCKER RULE,h3,
"ALL REFERENCES TO EU LAWS AND REGULATIONS IN THIS OFFERING CIRCULAR SHALL BE READ TO INCLUDE THE EUROPEAN UNION (WITHDRAWAL AGREEMENT) ACT 2020 (THE ""WITHDRAWAL ACT"") WHICH IMPLEMENTS SUCH LAW AND REGULATION INTO UNITED KINGDOM LAW AND ANY SUBSEQUENT UK LEGISLATION WHICH REPLACES, AMENDS, SUPERSEDES SUCH LAW OR REGULATION, IN EACH CASE, AS AMENDED FROM TIME TO TIME.",h2,
General Notice,h3,
"This Offering Circular has been prepared by the Issuer solely for use in connection with the offering of the Notes described herein (the ""Offering""). Each of the Issuer and the Initial Purchaser reserves the right to reject any offer to purchase Notes in whole or in part for any reason, or to sell less than the stated initial principal amount of any Class of Notes offered hereby. This Offering Circular is personal to each offeree to whom it has been delivered by the Issuer, the Initial Purchaser or any Affiliate thereof and does not constitute an offer to any other person or to the public generally to subscribe for or otherwise acquire the Notes. Distribution of this Offering Circular to any persons other than the offeree and those persons, if any, retained to advise such offeree with respect thereto is unauthorised and any disclosure of any of its contents, without the prior written consent of the Issuer, is prohibited. Any reproduction or distribution of this Offering Circular in whole or in part and any disclosure of its contents or use of any information herein for any purpose other than considering an investment in the securities offered herein is prohibited.",p,
Available Information,h3,
Legal Entity Identification,h3,
Application has been made to Euronext Dublin for the Notes to be admitted to the Official List and trading on its Global Exchange Market which is the exchange regulated market of Euronext Dublin. The Global Exchange Market is not a regulated market for the purposes of Directive 2014/65/EU. There can be no assurance that such listing will be maintained.,p,
No Significant or Material Change,h3,
"The assets securing the Notes (as defined herein) will consist primarily of a portfolio of Senior Obligations, Mezzanine Obligations and High Yield Bonds managed by Sculptor Europe Loan Management Limited (the “Collateral Manager”).",p,"{'Title': 2.391939801782428e-07, 'Paragraph': 0.9999997615814209}"
"(d) (high net worth companies, unincorporated associations, etc.) of the UK Financial Services and Markets Act",p,
